Ball Handling,Footwork,Attacking,Defending,Shooting,position
88,86,55,59,96,Goal Shooter
100,87,51,58,93,Goal Shooter
88,86,53,60,93,Goal Shooter
87,87,50,52,95,Goal Shooter
82,84,55,59,94,Goal Shooter
81,95,51,58,96,Goal Shooter
85,96,55,58,96,Goal Shooter
99,100,54,53,97,Goal Shooter
88,88,51,52,96,Goal Shooter
96,86,54,58,90,Goal Shooter
94,83,52,50,95,Goal Shooter
80,93,59,51,97,Goal Shooter
85,90,59,50,95,Goal Shooter
99,84,59,59,97,Goal Shooter
90,97,53,55,97,Goal Shooter
91,92,58,56,96,Goal Shooter
92,99,53,55,95,Goal Shooter
98,89,55,50,90,Goal Shooter
95,84,55,53,92,Goal Shooter
98,87,56,52,97,Goal Shooter
81,100,51,53,98,Goal Shooter
86,85,57,50,97,Goal Shooter
85,95,57,57,94,Goal Shooter
97,83,58,56,92,Goal Shooter
85,83,56,51,99,Goal Shooter
100,82,52,59,98,Goal Shooter
84,87,50,53,90,Goal Shooter
87,91,56,59,93,Goal Shooter
88,82,58,55,99,Goal Shooter
91,99,52,59,96,Goal Shooter
95,86,52,55,93,Goal Shooter
83,85,57,54,99,Goal Shooter
85,97,50,52,90,Goal Shooter
99,86,59,60,98,Goal Shooter
100,89,58,58,97,Goal Shooter
91,100,52,58,99,Goal Shooter
86,89,51,57,95,Goal Shooter
80,85,53,53,96,Goal Shooter
89,81,57,59,94,Goal Shooter
93,93,54,51,94,Goal Shooter
82,85,55,60,91,Goal Shooter
81,81,59,52,100,Goal Shooter
89,97,50,54,93,Goal Shooter
81,86,50,59,96,Goal Shooter
89,87,56,51,92,Goal Shooter
81,89,53,51,91,Goal Shooter
89,83,55,56,92,Goal Shooter
89,94,60,57,92,Goal Shooter
87,96,58,60,99,Goal Shooter
90,94,57,51,100,Goal Shooter
90,84,52,56,91,Goal Shooter
92,80,59,53,91,Goal Shooter
97,91,52,60,95,Goal Shooter
84,80,59,54,98,Goal Shooter
89,83,57,53,91,Goal Shooter
90,93,54,55,99,Goal Shooter
87,98,50,55,95,Goal Shooter
81,85,51,55,94,Goal Shooter
91,100,53,59,100,Goal Shooter
85,84,55,60,97,Goal Shooter
87,81,51,60,91,Goal Shooter
85,97,56,59,91,Goal Shooter
100,84,54,57,96,Goal Shooter
80,81,53,58,100,Goal Shooter
87,84,60,56,95,Goal Shooter
99,82,51,56,91,Goal Shooter
92,81,50,59,99,Goal Shooter
87,96,51,53,90,Goal Shooter
94,100,55,58,90,Goal Shooter
94,82,58,59,95,Goal Shooter
86,87,54,54,90,Goal Shooter
84,94,54,51,97,Goal Shooter
89,96,58,53,97,Goal Shooter
92,86,55,51,90,Goal Shooter
81,81,53,60,100,Goal Shooter
81,92,52,59,96,Goal Shooter
87,99,52,50,97,Goal Shooter
81,83,57,51,93,Goal Shooter
91,86,52,58,94,Goal Shooter
83,92,58,56,100,Goal Shooter
91,80,59,60,98,Goal Shooter
95,88,59,56,94,Goal Shooter
93,83,50,56,100,Goal Shooter
88,87,56,57,92,Goal Shooter
93,96,56,52,100,Goal Shooter
100,94,50,52,100,Goal Shooter
87,97,60,56,92,Goal Shooter
96,93,55,60,99,Goal Shooter
100,82,54,54,91,Goal Shooter
86,97,57,56,93,Goal Shooter
90,95,58,52,100,Goal Shooter
100,100,52,58,95,Goal Shooter
84,91,57,57,97,Goal Shooter
99,97,59,50,98,Goal Shooter
82,87,55,56,100,Goal Shooter
81,88,57,60,96,Goal Shooter
95,85,57,51,91,Goal Shooter
90,81,58,57,92,Goal Shooter
97,84,51,51,97,Goal Shooter
96,84,58,53,100,Goal Shooter
87,97,58,57,93,Goal Shooter
91,89,58,52,98,Goal Shooter
99,92,56,57,94,Goal Shooter
92,91,53,50,97,Goal Shooter
80,100,54,51,91,Goal Shooter
97,94,52,54,99,Goal Shooter
93,81,53,55,92,Goal Shooter
91,98,53,56,94,Goal Shooter
95,93,53,60,94,Goal Shooter
89,96,50,60,93,Goal Shooter
95,98,54,55,91,Goal Shooter
95,82,59,60,93,Goal Shooter
90,100,60,57,92,Goal Shooter
98,87,50,55,95,Goal Shooter
80,91,59,59,98,Goal Shooter
92,98,56,50,95,Goal Shooter
81,85,59,55,97,Goal Shooter
99,86,54,53,99,Goal Shooter
84,93,54,56,100,Goal Shooter
90,92,51,50,99,Goal Shooter
83,80,52,59,99,Goal Shooter
97,81,60,58,100,Goal Shooter
80,94,57,50,96,Goal Shooter
87,94,56,52,93,Goal Shooter
87,90,52,53,91,Goal Shooter
82,92,58,52,91,Goal Shooter
81,86,55,56,95,Goal Shooter
96,92,50,54,94,Goal Shooter
88,91,60,53,94,Goal Shooter
93,97,53,50,90,Goal Shooter
94,83,52,51,92,Goal Shooter
97,84,58,52,96,Goal Shooter
94,88,60,60,97,Goal Shooter
91,81,54,51,92,Goal Shooter
86,89,56,57,90,Goal Shooter
80,84,55,55,95,Goal Shooter
89,95,59,60,94,Goal Shooter
97,94,51,50,93,Goal Shooter
88,87,59,54,99,Goal Shooter
84,80,60,54,100,Goal Shooter
97,83,60,53,94,Goal Shooter
89,96,59,51,99,Goal Shooter
89,84,55,54,98,Goal Shooter
84,82,50,60,96,Goal Shooter
92,87,55,59,99,Goal Shooter
92,93,57,56,98,Goal Shooter
96,83,50,58,98,Goal Shooter
100,91,55,60,98,Goal Shooter
85,86,53,54,90,Goal Shooter
97,100,56,59,96,Goal Shooter
98,87,59,54,99,Goal Shooter
89,95,51,55,96,Goal Shooter
86,83,50,50,96,Goal Shooter
97,88,60,60,95,Goal Shooter
87,84,51,60,92,Goal Shooter
84,98,58,57,100,Goal Shooter
81,89,54,60,96,Goal Shooter
98,81,58,59,100,Goal Shooter
94,92,55,56,90,Goal Shooter
91,80,59,52,92,Goal Shooter
83,93,57,55,92,Goal Shooter
86,81,52,58,98,Goal Shooter
98,84,55,54,90,Goal Shooter
83,97,60,56,90,Goal Shooter
93,90,58,53,95,Goal Shooter
98,94,51,52,97,Goal Shooter
96,98,53,50,93,Goal Shooter
90,86,50,56,97,Goal Shooter
84,89,56,59,99,Goal Shooter
95,97,55,51,91,Goal Shooter
84,96,57,59,91,Goal Shooter
95,84,51,57,100,Goal Shooter
80,84,56,55,90,Goal Shooter
82,99,59,59,92,Goal Shooter
92,98,57,59,96,Goal Shooter
87,83,57,54,99,Goal Shooter
94,88,55,52,90,Goal Shooter
90,80,50,55,95,Goal Shooter
88,98,55,54,94,Goal Shooter
96,89,60,50,99,Goal Shooter
92,99,57,58,91,Goal Shooter
84,89,60,53,91,Goal Shooter
82,91,51,55,90,Goal Shooter
83,97,54,60,96,Goal Shooter
98,81,57,59,92,Goal Shooter
88,99,57,56,100,Goal Shooter
100,88,54,57,91,Goal Shooter
91,81,51,57,94,Goal Shooter
81,89,53,57,97,Goal Shooter
80,86,50,53,91,Goal Shooter
92,91,55,59,96,Goal Shooter
88,82,55,55,94,Goal Shooter
92,92,59,54,99,Goal Shooter
81,82,57,60,92,Goal Shooter
97,82,57,57,94,Goal Shooter
81,81,60,57,90,Goal Shooter
97,95,59,52,99,Goal Shooter
87,91,60,56,97,Goal Shooter
94,89,60,57,95,Goal Shooter
81,82,53,55,92,Goal Shooter
90,91,54,52,92,Goal Shooter
84,81,55,58,93,Goal Shooter
84,84,59,58,99,Goal Shooter
90,91,50,55,91,Goal Shooter
85,90,53,51,91,Goal Shooter
80,98,59,60,95,Goal Shooter
92,90,58,51,92,Goal Shooter
93,97,54,59,91,Goal Shooter
95,86,50,56,93,Goal Shooter
86,84,60,58,92,Goal Shooter
93,96,50,52,100,Goal Shooter
87,87,52,53,94,Goal Shooter
94,95,59,51,93,Goal Shooter
81,97,58,58,93,Goal Shooter
94,90,60,50,95,Goal Shooter
98,96,56,51,95,Goal Shooter
99,94,52,51,100,Goal Shooter
87,87,55,60,93,Goal Shooter
94,100,60,59,98,Goal Shooter
93,98,59,50,96,Goal Shooter
88,84,51,55,95,Goal Shooter
92,82,57,54,98,Goal Shooter
83,100,57,59,97,Goal Shooter
94,89,59,50,91,Goal Shooter
90,92,50,53,99,Goal Shooter
81,93,55,50,91,Goal Shooter
80,84,53,60,99,Goal Shooter
89,84,60,60,99,Goal Shooter
93,87,59,60,100,Goal Shooter
90,80,52,54,98,Goal Shooter
92,95,58,53,96,Goal Shooter
95,92,54,51,92,Goal Shooter
89,96,60,54,97,Goal Shooter
87,84,58,56,100,Goal Shooter
92,97,50,56,94,Goal Shooter
91,91,52,59,96,Goal Shooter
83,83,55,52,96,Goal Shooter
83,97,60,58,100,Goal Shooter
87,93,50,50,97,Goal Shooter
91,82,58,50,93,Goal Shooter
84,91,59,59,91,Goal Shooter
88,97,60,51,99,Goal Shooter
86,100,51,56,99,Goal Shooter
88,98,58,53,100,Goal Shooter
88,81,55,59,92,Goal Shooter
83,92,54,50,98,Goal Shooter
99,96,52,54,94,Goal Shooter
85,95,53,55,99,Goal Shooter
96,91,53,54,98,Goal Shooter
97,94,51,53,99,Goal Shooter
94,99,50,60,91,Goal Shooter
91,90,51,56,93,Goal Shooter
99,89,51,50,100,Goal Shooter
99,95,60,57,90,Goal Shooter
88,94,59,51,99,Goal Shooter
96,85,52,56,91,Goal Shooter
95,93,51,59,100,Goal Shooter
96,98,55,51,100,Goal Shooter
83,89,51,51,91,Goal Shooter
81,93,57,57,90,Goal Shooter
89,93,59,60,90,Goal Shooter
88,91,50,57,100,Goal Shooter
95,86,60,59,95,Goal Shooter
93,100,60,55,93,Goal Shooter
90,99,54,50,98,Goal Shooter
98,82,51,50,92,Goal Shooter
81,83,60,58,98,Goal Shooter
100,84,59,59,94,Goal Shooter
95,90,57,54,100,Goal Shooter
96,86,56,56,96,Goal Shooter
90,80,58,55,94,Goal Shooter
95,100,51,55,99,Goal Shooter
83,81,52,54,95,Goal Shooter
83,99,55,57,95,Goal Shooter
95,85,50,55,95,Goal Shooter
92,97,50,54,94,Goal Shooter
92,85,55,60,91,Goal Shooter
95,82,53,60,95,Goal Shooter
88,89,51,50,97,Goal Shooter
93,82,55,60,96,Goal Shooter
82,88,58,52,97,Goal Shooter
94,99,50,56,96,Goal Shooter
84,92,59,55,90,Goal Shooter
91,97,53,54,95,Goal Shooter
95,95,60,52,95,Goal Shooter
98,100,59,56,94,Goal Shooter
94,81,60,57,98,Goal Shooter
80,83,56,53,91,Goal Shooter
99,97,53,57,95,Goal Shooter
99,100,59,55,99,Goal Shooter
99,94,57,57,90,Goal Shooter
84,96,58,51,98,Goal Shooter
89,87,51,55,91,Goal Shooter
82,81,55,52,97,Goal Shooter
98,80,59,59,94,Goal Shooter
91,80,58,53,90,Goal Shooter
99,96,58,59,97,Goal Shooter
95,91,52,57,91,Goal Shooter
80,100,51,52,96,Goal Shooter
89,97,52,50,100,Goal Shooter
100,98,56,59,98,Goal Shooter
94,87,60,51,97,Goal Shooter
87,99,54,51,94,Goal Shooter
99,95,58,54,91,Goal Shooter
86,91,52,52,99,Goal Shooter
96,98,59,60,97,Goal Shooter
95,83,53,55,93,Goal Shooter
80,96,58,58,90,Goal Shooter
94,88,59,60,98,Goal Shooter
92,80,50,60,93,Goal Shooter
88,94,50,60,96,Goal Shooter
80,87,51,53,91,Goal Shooter
87,94,57,54,91,Goal Shooter
95,84,52,57,91,Goal Shooter
98,98,50,58,94,Goal Shooter
88,86,53,53,94,Goal Shooter
95,81,55,54,97,Goal Shooter
94,92,55,51,92,Goal Shooter
91,88,56,60,98,Goal Shooter
98,97,50,52,98,Goal Shooter
91,85,54,55,95,Goal Shooter
90,90,60,57,93,Goal Shooter
97,92,60,51,95,Goal Shooter
93,87,60,50,93,Goal Shooter
87,85,57,53,98,Goal Shooter
93,99,52,60,99,Goal Shooter
83,96,57,55,93,Goal Shooter
94,100,52,55,99,Goal Shooter
99,98,52,60,91,Goal Shooter
97,81,54,59,100,Goal Shooter
90,98,60,52,98,Goal Shooter
87,95,56,58,100,Goal Shooter
96,94,51,53,98,Goal Shooter
94,88,51,55,97,Goal Shooter
95,83,57,58,98,Goal Shooter
96,93,52,53,98,Goal Shooter
91,82,60,54,94,Goal Shooter
80,100,56,50,90,Goal Shooter
82,98,50,51,90,Goal Shooter
99,97,56,60,100,Goal Shooter
89,90,53,54,93,Goal Shooter
99,93,55,50,92,Goal Shooter
99,84,59,55,100,Goal Shooter
87,94,53,59,90,Goal Shooter
96,88,52,59,90,Goal Shooter
82,82,60,56,91,Goal Shooter
83,95,57,50,91,Goal Shooter
96,81,58,53,91,Goal Shooter
80,92,50,59,94,Goal Shooter
99,97,53,54,90,Goal Shooter
82,95,52,56,96,Goal Shooter
96,96,59,60,90,Goal Shooter
99,84,54,52,94,Goal Shooter
90,100,52,60,100,Goal Shooter
96,81,59,52,92,Goal Shooter
81,86,54,54,98,Goal Shooter
88,96,54,55,96,Goal Shooter
80,88,60,59,92,Goal Shooter
88,86,52,55,95,Goal Shooter
92,99,53,54,100,Goal Shooter
83,99,57,60,96,Goal Shooter
87,98,50,56,99,Goal Shooter
95,88,59,60,97,Goal Shooter
86,95,56,57,99,Goal Shooter
82,90,52,52,90,Goal Shooter
81,90,52,58,100,Goal Shooter
87,90,50,59,91,Goal Shooter
93,80,57,60,94,Goal Shooter
92,100,53,60,90,Goal Shooter
94,94,59,52,95,Goal Shooter
93,92,52,55,97,Goal Shooter
85,97,51,58,93,Goal Shooter
93,99,58,59,91,Goal Shooter
98,82,54,51,95,Goal Shooter
86,85,57,55,91,Goal Shooter
99,97,50,58,91,Goal Shooter
92,97,50,58,100,Goal Shooter
85,84,51,50,95,Goal Shooter
87,96,54,50,100,Goal Shooter
87,82,55,60,96,Goal Shooter
87,87,50,50,92,Goal Shooter
96,100,60,59,92,Goal Shooter
95,90,54,50,95,Goal Shooter
86,84,55,55,94,Goal Shooter
87,83,53,54,90,Goal Shooter
83,82,55,54,91,Goal Shooter
89,85,55,51,92,Goal Shooter
97,88,53,50,92,Goal Shooter
84,89,57,51,99,Goal Shooter
93,100,59,57,94,Goal Shooter
81,96,57,59,94,Goal Shooter
97,89,50,60,99,Goal Shooter
85,82,60,55,98,Goal Shooter
95,88,52,53,97,Goal Shooter
100,91,59,57,95,Goal Shooter
88,81,50,54,96,Goal Shooter
84,83,58,57,97,Goal Shooter
91,81,50,54,91,Goal Shooter
97,80,54,56,97,Goal Shooter
81,88,60,60,100,Goal Shooter
88,82,55,60,97,Goal Shooter
94,95,53,60,96,Goal Shooter
88,85,59,53,96,Goal Shooter
81,94,52,56,99,Goal Shooter
86,89,59,50,93,Goal Shooter
94,86,58,59,92,Goal Shooter
100,90,57,52,98,Goal Shooter
87,82,50,56,92,Goal Shooter
93,90,57,52,92,Goal Shooter
97,81,60,52,91,Goal Shooter
97,96,54,50,98,Goal Shooter
93,98,59,51,98,Goal Shooter
94,96,56,55,99,Goal Shooter
90,87,54,55,96,Goal Shooter
99,86,51,51,97,Goal Shooter
98,91,50,57,99,Goal Shooter
91,100,51,58,92,Goal Shooter
87,89,58,53,93,Goal Shooter
84,85,57,59,98,Goal Shooter
98,87,50,51,99,Goal Shooter
83,96,58,50,100,Goal Shooter
80,88,54,55,94,Goal Shooter
92,83,55,52,92,Goal Shooter
89,94,51,54,96,Goal Shooter
99,88,54,54,94,Goal Shooter
87,91,56,54,97,Goal Shooter
81,95,52,59,94,Goal Shooter
94,81,60,50,92,Goal Shooter
90,85,51,54,95,Goal Shooter
98,96,50,53,98,Goal Shooter
81,84,55,51,91,Goal Shooter
84,99,50,59,95,Goal Shooter
99,91,51,57,93,Goal Shooter
82,84,59,60,95,Goal Shooter
98,98,58,50,90,Goal Shooter
83,94,53,54,90,Goal Shooter
84,97,60,57,90,Goal Shooter
98,87,52,52,91,Goal Shooter
81,98,56,58,97,Goal Shooter
86,98,55,51,92,Goal Shooter
97,82,60,56,99,Goal Shooter
100,86,60,51,92,Goal Shooter
96,80,53,60,92,Goal Shooter
96,85,52,55,93,Goal Shooter
99,93,59,51,96,Goal Shooter
80,83,53,60,98,Goal Shooter
87,84,51,53,99,Goal Shooter
87,91,59,51,91,Goal Shooter
96,82,56,56,100,Goal Shooter
80,97,55,53,91,Goal Shooter
80,85,52,50,100,Goal Shooter
80,85,58,53,96,Goal Shooter
83,88,60,55,91,Goal Shooter
90,85,56,55,97,Goal Shooter
91,83,60,50,99,Goal Shooter
89,95,51,55,96,Goal Shooter
81,97,54,55,94,Goal Shooter
85,87,56,53,90,Goal Shooter
93,80,50,58,95,Goal Shooter
87,100,50,51,95,Goal Shooter
83,94,54,51,96,Goal Shooter
92,85,55,54,99,Goal Shooter
90,90,57,53,95,Goal Shooter
88,87,52,54,94,Goal Shooter
96,85,55,56,92,Goal Shooter
89,97,58,60,98,Goal Shooter
90,86,52,56,94,Goal Shooter
100,90,56,52,97,Goal Shooter
86,95,55,50,92,Goal Shooter
81,95,59,50,90,Goal Shooter
98,91,59,54,93,Goal Shooter
96,83,54,55,94,Goal Shooter
87,99,58,60,90,Goal Shooter
98,87,60,57,99,Goal Shooter
95,91,59,59,91,Goal Shooter
92,95,51,60,98,Goal Shooter
88,100,50,50,99,Goal Shooter
98,99,58,58,92,Goal Shooter
99,84,57,59,100,Goal Shooter
97,99,59,55,97,Goal Shooter
81,82,60,60,98,Goal Shooter
82,100,51,53,99,Goal Shooter
97,83,52,59,96,Goal Shooter
88,90,60,50,92,Goal Shooter
91,81,55,58,98,Goal Shooter
84,93,60,50,94,Goal Shooter
97,96,59,59,96,Goal Shooter
97,95,54,55,95,Goal Shooter
84,81,57,51,98,Goal Shooter
80,99,59,53,91,Goal Shooter
83,91,58,52,90,Goal Shooter
96,99,54,51,97,Goal Shooter
91,87,54,55,96,Goal Shooter
81,92,58,51,98,Goal Shooter
80,83,60,54,96,Goal Shooter
98,90,60,51,95,Goal Shooter
93,86,57,52,93,Goal Shooter
94,84,57,54,97,Goal Shooter
89,95,52,60,98,Goal Shooter
96,82,50,52,93,Goal Shooter
85,87,59,53,97,Goal Shooter
98,90,52,58,94,Goal Shooter
99,82,51,51,95,Goal Shooter
80,83,56,58,93,Goal Shooter
87,94,56,55,92,Goal Shooter
100,94,52,51,90,Goal Shooter
96,86,58,60,95,Goal Shooter
89,83,53,58,98,Goal Shooter
99,99,50,55,99,Goal Shooter
98,92,55,60,97,Goal Shooter
80,99,56,52,93,Goal Shooter
88,92,50,58,90,Goal Shooter
89,97,53,59,100,Goal Shooter
83,91,57,59,91,Goal Shooter
92,94,59,58,90,Goal Shooter
83,87,52,56,98,Goal Shooter
82,93,60,60,93,Goal Shooter
96,93,51,51,96,Goal Shooter
96,81,57,57,100,Goal Shooter
94,84,57,53,91,Goal Shooter
90,86,52,58,96,Goal Shooter
100,83,58,52,90,Goal Shooter
83,81,59,54,97,Goal Shooter
98,97,50,50,93,Goal Shooter
84,89,50,51,94,Goal Shooter
99,90,53,60,99,Goal Shooter
97,99,58,54,92,Goal Shooter
92,88,52,58,94,Goal Shooter
97,87,59,55,99,Goal Shooter
86,87,51,51,100,Goal Shooter
93,89,50,55,99,Goal Shooter
96,99,60,54,91,Goal Shooter
87,98,57,56,97,Goal Shooter
94,93,59,52,98,Goal Shooter
100,89,56,50,98,Goal Shooter
95,95,58,57,92,Goal Shooter
84,82,50,57,98,Goal Shooter
86,89,59,55,91,Goal Shooter
94,94,51,55,92,Goal Shooter
90,82,51,59,96,Goal Shooter
100,82,58,60,99,Goal Shooter
96,84,58,56,93,Goal Shooter
89,97,59,52,90,Goal Shooter
82,100,55,58,95,Goal Shooter
89,89,56,57,99,Goal Shooter
86,89,58,55,98,Goal Shooter
89,88,59,60,92,Goal Shooter
84,96,55,58,98,Goal Shooter
89,100,60,60,98,Goal Shooter
93,93,60,59,97,Goal Shooter
100,81,54,59,93,Goal Shooter
88,96,58,59,92,Goal Shooter
85,94,50,50,93,Goal Shooter
95,89,50,53,98,Goal Shooter
87,93,54,57,95,Goal Shooter
94,87,60,52,96,Goal Shooter
90,84,58,60,90,Goal Shooter
80,83,57,54,99,Goal Shooter
90,99,52,50,94,Goal Shooter
80,85,60,58,95,Goal Shooter
80,82,55,51,98,Goal Shooter
88,88,57,60,92,Goal Shooter
90,98,54,58,98,Goal Shooter
90,81,53,60,93,Goal Shooter
87,83,60,57,90,Goal Shooter
86,86,52,59,93,Goal Shooter
85,87,60,57,95,Goal Shooter
82,81,59,51,94,Goal Shooter
84,97,50,57,92,Goal Shooter
100,81,56,57,90,Goal Shooter
81,92,54,50,99,Goal Shooter
100,80,51,50,93,Goal Shooter
84,93,59,50,100,Goal Shooter
80,96,57,56,92,Goal Shooter
96,95,53,53,99,Goal Shooter
94,80,53,50,90,Goal Shooter
98,91,53,50,90,Goal Shooter
80,86,50,55,98,Goal Shooter
86,84,54,50,93,Goal Shooter
93,90,59,52,93,Goal Shooter
88,92,57,57,94,Goal Shooter
97,88,52,53,96,Goal Shooter
89,94,50,58,100,Goal Shooter
93,100,50,58,100,Goal Shooter
87,80,56,59,96,Goal Shooter
83,86,52,51,99,Goal Shooter
84,91,54,54,95,Goal Shooter
96,98,51,51,94,Goal Shooter
89,85,59,60,93,Goal Shooter
90,94,56,55,94,Goal Shooter
96,84,58,58,95,Goal Shooter
100,88,58,53,90,Goal Shooter
80,83,54,57,97,Goal Shooter
82,92,54,56,94,Goal Shooter
100,97,60,51,98,Goal Shooter
88,83,50,55,98,Goal Shooter
86,85,51,58,94,Goal Shooter
91,97,59,51,100,Goal Shooter
91,99,57,52,95,Goal Shooter
82,86,53,57,93,Goal Shooter
97,81,60,55,100,Goal Shooter
96,80,58,56,93,Goal Shooter
97,80,58,53,91,Goal Shooter
86,93,58,57,90,Goal Shooter
97,85,53,52,97,Goal Shooter
89,100,60,50,99,Goal Shooter
92,82,60,58,98,Goal Shooter
83,89,59,52,99,Goal Shooter
95,81,58,59,94,Goal Shooter
96,99,57,59,92,Goal Shooter
94,91,55,58,91,Goal Shooter
81,84,53,59,93,Goal Shooter
94,96,55,55,98,Goal Shooter
94,97,50,57,93,Goal Shooter
99,83,50,50,97,Goal Shooter
84,92,54,56,97,Goal Shooter
97,81,57,56,92,Goal Shooter
90,86,51,50,99,Goal Shooter
98,86,52,59,93,Goal Shooter
93,98,58,53,91,Goal Shooter
99,100,50,53,95,Goal Shooter
99,85,51,52,92,Goal Shooter
80,95,53,58,93,Goal Shooter
89,99,54,60,93,Goal Shooter
100,85,50,51,91,Goal Shooter
93,100,54,51,92,Goal Shooter
82,81,60,54,100,Goal Shooter
86,91,53,59,91,Goal Shooter
90,94,59,57,93,Goal Shooter
90,99,54,59,93,Goal Shooter
81,100,56,58,98,Goal Shooter
87,89,59,52,93,Goal Shooter
96,81,51,56,93,Goal Shooter
93,92,57,58,92,Goal Shooter
100,90,51,51,96,Goal Shooter
98,88,55,54,91,Goal Shooter
83,100,59,57,98,Goal Shooter
84,91,51,52,91,Goal Shooter
87,91,54,57,94,Goal Shooter
85,89,50,51,93,Goal Shooter
94,82,56,56,93,Goal Shooter
90,96,50,60,98,Goal Shooter
82,85,59,57,97,Goal Shooter
98,82,51,50,100,Goal Shooter
95,90,56,56,97,Goal Shooter
98,95,55,58,98,Goal Shooter
92,92,57,52,93,Goal Shooter
96,89,51,54,93,Goal Shooter
100,81,59,58,96,Goal Shooter
99,84,60,51,90,Goal Shooter
81,97,58,56,94,Goal Shooter
81,88,60,58,98,Goal Shooter
94,92,56,56,95,Goal Shooter
99,99,51,56,100,Goal Shooter
88,88,53,54,95,Goal Shooter
97,83,50,53,97,Goal Shooter
87,90,50,53,97,Goal Shooter
94,98,56,56,98,Goal Shooter
81,91,58,59,97,Goal Shooter
88,94,56,54,91,Goal Shooter
93,86,54,56,99,Goal Shooter
87,83,60,59,97,Goal Shooter
99,90,60,56,94,Goal Shooter
82,95,56,50,91,Goal Shooter
97,100,50,59,99,Goal Shooter
89,86,59,60,96,Goal Shooter
96,83,54,54,95,Goal Shooter
93,82,59,57,98,Goal Shooter
96,98,55,57,91,Goal Shooter
88,99,56,51,96,Goal Shooter
86,85,55,53,98,Goal Shooter
82,85,60,50,93,Goal Shooter
82,86,54,51,93,Goal Shooter
94,80,55,52,90,Goal Shooter
92,94,59,51,99,Goal Shooter
87,80,55,58,96,Goal Shooter
91,91,60,60,90,Goal Shooter
84,98,51,60,95,Goal Shooter
80,81,57,53,92,Goal Shooter
82,94,57,54,100,Goal Shooter
100,85,59,60,96,Goal Shooter
